play	approved_version	candidate_version
saikiran-labs/play-change-review	0.1.0	0.1.1
amaan-playoffs/git-handoff-snapshot	0.2.1	0.2.2
anvit/dev-storage-reclaimer	0.3.0	0.4.0
sookra/quiet-check	0.1.4	0.1.5
lgoyal6/shutdown-safety	0.2.0	0.3.0
lgoyal6/query-in-loop	1.1.0	1.2.0
lgoyal6/cache-key-scope	1.0.0	1.1.0
lgoyal6/overfetch-response	0.2.0	0.3.0
lgoyal6/dependency-confusion	0.1.0	0.2.0
lgoyal6/unclosed-resources	1.2.0	1.3.0
lgoyal6/copyleft-reach	0.1.0	0.2.0
lgoyal6/llm-spend-guard	0.1.0	0.2.0
lgoyal6/prompt-injection-surface	1.0.0	1.1.0
satianurag/ci-digest-guard	0.3.0	0.4.0
adnandev/test-gap	0.1.1	0.1.2
psohi-labs/polygraph	0.0.10	0.0.11
ankurrawat/100-million-request-scaling	2.0.0	2.0.1
